원본 데이터셋,원본 테이블,원본 칼럼명,스키마상의 설명,스키마 자료형,스키마 Nullable,행 수,결측 수,결측률,고유값 수,실제 값 예시,실제 Python 자료형,분류,대상 클래스,대상 속성,속성 구분,RDF 자료형,단위 또는 코드 체계,필수 여부,변환 규칙,결측치 처리,비고 및 불확실성
PRBD01N001,domestic_bond,buyable_quantity,매수가능수량,double precision,YES,21882,21248,97.1026%,297,689393000 | 159859000 | 133785000,int,현재 온톨로지 의미계층에 미반영,SourceFieldAssertion,rawValue,DataProperty,xsd:decimal,COUNT,조건부,주최 측 규칙상 매수가능 판단에 사용할 수 없는 무효 지표; present 값과 0은 UNUSABLE_BY_POLICY assertion으로만 보존하고 metric/fact/filter/ranking 및 SaleLot 판정에는 사용하지 않음,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,buy_yield,매수수익률/매수금리,double precision,YES,21882,21248,97.1026%,348,3.42 | 3.52 | 3.825,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,corp_after_tax_yield,법인 세후 투자수익률,double precision,YES,21882,21248,97.1026%,469,3.2464 | 3.361 | 3.7969,float,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,corp_pretax_yield,법인 세전 투자수익률,double precision,YES,21882,21248,97.1026%,447,3.4529 | 3.5699 | 4.019,float,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,cov,컨벡시티,double precision,YES,21882,16,0.0731%,15801,0.2915 | 1.6036 | 62.2844,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,crd_grd,적용신용등급,text,YES,21882,4020,18.3713%,15,AAA | AA+ | AA0,str,기준일이 있는 관측값,CreditRatingObservation,rawValue,DataProperty,xsd:string,스키마에 명시 없음,조건부,채권 신용등급; crd_grd_dt와 결합하고 평가기관은 생성하지 않음,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,crd_grd_dt,신용등급 적용일자(등급 미변경 시 과거 일자로 유지될 수 있음),text,YES,21882,4006,18.3073%,2151,20251212 | 20241025 | 20150602,str,출처·관리용 메타데이터,CreditRatingObservation,asOfDate,DataProperty,xsd:date,스키마에 명시 없음,조건부,신용등급 적용일; 등급 미변경 시 과거 날짜일 수 있음,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,curr_cd,통화코드,text,YES,21882,0,0.0000%,2,KRW | 000,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,depo_equiv_yield_154,예금환산수익률(세율 15.4 기준),double precision,YES,21882,21248,97.1026%,415,3.837 | 3.972 | 4.488,float,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,depo_equiv_yield_495,은행환산수익률(세율 49.5 기준),double precision,YES,21882,21248,97.1026%,445,5.523 | 5.739 | 6.545,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,dirty,이자부단가/Dirty Price,double precision,YES,21882,16,0.0731%,16603,9994.15 | 9946.45 | 8781.44,"float,int",기준일이 있는 관측값,PriceObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,dur,듀레이션,double precision,YES,21882,16,0.0731%,14587,0.499 | 1.1481 | 7.376,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,eval_price,평가일단가/Clean Price 성격,double precision,YES,21882,0,0.0000%,16605,9994.15 | 9946.45 | 8781.44,"float,int",기준일이 있는 관측값,PriceObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,실제 전행 존재(스키마상 선택),Clean Price 성격; pd_std_info_update 기준일 연결,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exg_close_price,장내 채권종가,double precision,YES,21882,4136,18.9014%,283,0 | 9589 | 8566,"float,int",기준일이 있는 관측값,PriceObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exg_close_price_base_dt,장내 채권종가/종가수익률 기준일,text,YES,21882,20612,94.1961%,99,20250930 | 20231031 | 20230331,str,출처·관리용 메타데이터,SourceFieldAssertion,rawValue,DataProperty,xsd:string,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,YYYYMMDD 형식 검증 후 날짜 의미에 맞는 개체에 연결; 불명확하면 원본만 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exg_close_yield,장내 종가수익률,double precision,YES,21882,4136,18.9014%,299,0 | 2.906 | 4.562,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exrt_grte_ern_r,만기보장수익률,"numeric(20,12)",YES,21882,0,0.0000%,19,0 | 5 | 2,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),실제 전행 존재(스키마상 선택),만기보장수익률; 구분 코드와 source 기준일 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exrt_grte_ern_r_tcd,만기보장수익률구분코드,text,YES,21882,0,0.0000%,6,99 | 01 | 04,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,exrt_rpy_r,만기상환율,"numeric(20,12)",YES,21882,0,0.0000%,101,100 | 0 | 127.6282,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,실제 전행 존재(스키마상 선택),만기상환율; 상품 고정값으로 단정하지 않고 source 기준일 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,info_base_dt,판매/민평 공통 기준일,text,NO,21882,0,0.0000%,1,20260821,str,출처·관리용 메타데이터,SourceRecord,snapshotDate/asOfDate,DataProperty,xsd:string,스키마에 명시 없음,필수,YYYYMMDD를 xsd:date로 변환; 원본도 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,info_seq,동일 종목/시장/기준일 내 판매 LOT 구분 순번,bigint,NO,21882,0,0.0000%,3,1 | 2 | 3,int,출처·관리용 메타데이터,BondOfferLot,lotSequence,DataProperty,xsd:integer,스키마에 명시 없음,필수,pd_no+pd_exg_mkt+info_base_dt+info_seq 원본 행 키의 일부,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,isu_bal_amt,발행잔액/발행금액잔액,double precision,YES,21882,0,0.0000%,2947,10000000000 | 110000000000 | 130000000000,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,통화는 행의 통화 칼럼과 결합; 없으면 UNKNOWN,실제 전행 존재(스키마상 선택),MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,isu_dt,발행일자,text,YES,21882,1,0.0046%,2487,20251223 | 20241025 | 20150602,str,상품의 직접 속성,Bond,issueDate,DataProperty,xsd:date,스키마에 명시 없음,조건부,YYYYMMDD를 xsd:date로 검증 변환,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,mat_dt,상환일자(영구채는 1차 콜행사개시일),text,YES,21882,1,0.0046%,3798,20270223 | 20271025 | 20350602,str,상품의 직접 속성,Bond,maturityOrFirstCallDate,DataProperty,xsd:date,스키마에 명시 없음,조건부,영구채는 1차 콜행사개시일일 수 있으므로 일반 만기로 단정하지 않음,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,ndy_applied_yield,익일 민평수익률/민평금리,double precision,YES,21882,16,0.0731%,3155,3.714 | 3.847 | 4.49,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,ndy_cov,익일 컨벡시티,double precision,YES,21882,16,0.0731%,15726,0.2893 | 1.5965 | 61.2515,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,ndy_dirty,익일 이자부단가,double precision,YES,21882,16,0.0731%,16508,9995.15 | 9947.48 | 8782.51,"float,int",기준일이 있는 관측값,PriceObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,ndy_dur,익일 듀레이션,double precision,YES,21882,16,0.0731%,14476,0.4971 | 1.1471 | 7.291,"float,int",기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,ndy_eval_price,익일 평가일단가,double precision,YES,21882,16,0.0731%,16503,9995.15 | 9947.48 | 8782.51,"float,int",기준일이 있는 관측값,PriceObservation,metricValue,DataProperty,xsd:decimal,스키마에 명시 없음,조건부,익일 평가단가; 익일 관측 의미를 metricType에 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_abrv_eng_nm,상품영문약어명,text,YES,21882,14,0.0640%,20481,First 5G 84th SEC1-14 | GH24-10-83(T) | KHFCMBS2015-11(1-8),str,상품의 직접 속성,FinancialProduct,englishAbbreviatedName,DataProperty,xsd:string,스키마에 명시 없음,조건부,공백 정리 외 의미 추론 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_abrv_nm,상품약어명,text,YES,21882,14,0.0640%,20476,퍼스트파이브지84차유1-14 | 경기주택도시공사24-10-83(지) | 주택금융공사MBS2015-11(1-8),str,상품의 직접 속성,FinancialProduct,abbreviatedName,DataProperty,xsd:string,스키마에 명시 없음,조건부,공백 정리 외 의미 추론 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_ctry_cd,국가코드: 종목번호 앞 2자리(KR 등),text,YES,21882,0,0.0000%,2,KR | XS,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_eng_nm,상품영문명,text,YES,21882,5,0.0228%,20491,First 5G Eighty Fourth Securitization Specialty1-14 | GYEONGGI HOUSING&URBAN DEVELOPMENT24-10-83(T) | Korea Housing Finance CorporationMBS2015-11(1-8),str,상품의 직접 속성,FinancialProduct,englishName,DataProperty,xsd:string,스키마에 명시 없음,조건부,공백 정리 외 의미 추론 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_exg_mkt,거래구분,text,NO,21882,0,0.0000%,2,장내 | 장외,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,필수,공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_nm,상품명/채권명,text,YES,21882,0,0.0000%,20499,퍼스트파이브지제팔십사차유동화전문1-14 | 경기주택도시공사24-10-83(지) | 한국주택금융공사 MBS2015-11(1-8)(콜),str,상품의 직접 속성,FinancialProduct,productName,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공백 정리 외 의미 추론 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_no,상품번호/채권종목번호,text,NO,21882,0,0.0000%,20497,KR60143NEFC6 | KR353601GEA5 | KR354408G566,str,식별자,ProductIdentifier,identifierValue,DataProperty,xsd:string,스키마에 명시 없음,필수,identifierType=ISIN; 빈 값과 0/전부 0 sentinel은 identity에 사용하지 않고 원본 assertion에 보존; 형식 검증 상태를 별도 기록,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_pbcm,발행기관/발행자명,text,YES,21882,149,0.6809%,1818,퍼스트파이브지제팔십사차유동화전문( | 경기주택도시공사 | 한국주택금융공사,str,관계,Issuer,issuedBy,ObjectProperty,xsd:string,스키마에 명시 없음,조건부,원본 문자열/코드를 보존하고 exact 정규화만 수행; fuzzy 병합 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_pen_tr_yn,퇴직연금 편입 가능 여부,text,YES,21882,0,0.0000%,2,N | Y,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_risk_gcd,상품위험등급 원문 코드,text,YES,21882,0,0.0000%,7,15 | 16 | 11,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_risk_nm,상품위험등급명,text,YES,21882,0,0.0000%,7,낮은위험(5등급) | 매우낮은위험(6등급) | 매우높은위험(1등급),str,관계,RiskGrade,hasRiskGrade,ObjectProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),원본 문자열/코드를 보존하고 exact 정규화만 수행; fuzzy 병합 금지,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pd_std_info_update,민평정보 기준일/최근 업데이트 일자,text,YES,21882,0,0.0000%,1,20260821,str,출처·관리용 메타데이터,SourceRecord,snapshotDate/asOfDate,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),YYYYMMDD를 xsd:date로 변환; 원본도 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,pref_tax_yield,세금우대 세후 운용수익률,double precision,YES,21882,21248,97.1026%,469,3.3255 | 3.441 | 3.882,float,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,remaining_days,잔존일수,double precision,YES,21882,5,0.0228%,3795,186 | 430 | 3207,int,기준일이 있는 관측값,MetricObservation,metricValue,DataProperty,xsd:decimal,DAY,조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,sale_yield_base_dt,판매수익률 기준일,text,YES,21882,21248,97.1026%,1,20260821,str,출처·관리용 메타데이터,SourceFieldAssertion,rawValue,DataProperty,xsd:string,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,YYYYMMDD 형식 검증 후 날짜 의미에 맞는 개체에 연결; 불명확하면 원본만 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
